experiment_id,method_id,method_label,chain,seed_id,seed_value,seed_group,split,n,auc_no_gate,balanced_accuracy,sensitivity,specificity,auc_hard_030,auc_delta_no_gate_minus_hard_030
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,beta,S08,10762549616907469203,ordinary,internal_oof,169,0.7280211245728487,0.6928393911152533,0.6379310344827587,0.7477477477477478,0.6369214041627834,0.09109972041006531
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,beta,S12,10694063091131643398,ordinary,internal_oof,169,0.7287977632805218,0.6928393911152533,0.6379310344827587,0.7477477477477478,0.6423578751164958,0.08643988816402604
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,beta,S13,4496119368746308026,ordinary,internal_oof,169,0.7280211245728487,0.6928393911152533,0.6379310344827587,0.7477477477477478,0.638008698353526,0.0900124262193227
experiment_04_alice_model_no_hard_gate,no_gate_l2_linear,No gate + L2 + Linear,beta,S01,777,lucky,internal_oof,169,0.7466604535570054,0.6834420627524076,0.6551724137931034,0.7117117117117117,0.6695402298850575,0.07712022367194793
experiment_04_alice_model_no_hard_gate,no_gate_l2_linear,No gate + L2 + Linear,beta,S02,2232016200,lucky,internal_oof,169,0.7430879155017085,0.6748213730972352,0.6379310344827587,0.7117117117117117,0.6679869524697111,0.07510096303199743
experiment_04_alice_model_no_hard_gate,no_gate_l2_linear,No gate + L2 + Linear,beta,S10,8365301900047924020,lucky,internal_oof,169,0.7336129232680958,0.6489593041317179,0.5862068965517241,0.7117117117117117,0.6818111214662939,0.05180180180180194
experiment_04_alice_model_no_hard_gate,no_gate_l2_linear,No gate + L2 + Linear,beta,S04,6902826956892357559,moderate,internal_oof,169,0.7364088226157192,0.6613078595837216,0.6379310344827587,0.6846846846846847,0.6729574401988194,0.06345138241689974
experiment_04_alice_model_no_hard_gate,no_gate_l2_linear,No gate + L2 + Linear,beta,S05,2712386035810402826,moderate,internal_oof,169,0.7639018328673503,0.6965672569120844,0.6724137931034483,0.7207207207207207,0.6810344827586206,0.0828673501087297
experiment_04_alice_model_no_hard_gate,no_gate_l2_linear,No gate + L2 + Linear,beta,S11,2817756917657900866,moderate,internal_oof,169,0.7374961168064615,0.6613078595837216,0.6379310344827587,0.6846846846846847,0.6630164647406027,0.07447965206585883
experiment_04_alice_model_no_hard_gate,no_gate_l2_linear,No gate + L2 + Linear,beta,S07,11327508419378867602,ordinary,internal_oof,169,0.7382727555141347,0.6436781609195402,0.6206896551724138,0.6666666666666666,0.6623951537744641,0.07587760173967062
experiment_04_alice_model_no_hard_gate,no_gate_l2_linear,No gate + L2 + Linear,beta,S08,10762549616907469203,ordinary,internal_oof,169,0.7342342342342343,0.6609195402298851,0.6551724137931034,0.6666666666666666,0.6833643988816404,0.05086983535259393
experiment_04_alice_model_no_hard_gate,no_gate_l2_linear,No gate + L2 + Linear,beta,S12,10694063091131643398,ordinary,internal_oof,169,0.739049394221808,0.6744330537433986,0.6551724137931034,0.6936936936936937,0.6616185150667909,0.07743087915501712
